Postal Code,Country/Region,State,City,Region
01040,United States,Massachusetts,Holyoke,East
01453,United States,Massachusetts,Leominster,East
01752,United States,Massachusetts,Marlborough,East
01810,United States,Massachusetts,Andover,East
01841,United States,Massachusetts,Lawrence,East
01852,United States,Massachusetts,Lowell,East
01915,United States,Massachusetts,Beverly,East
02038,United States,Massachusetts,Franklin,East
02138,United States,Massachusetts,Cambridge,East
02148,United States,Massachusetts,Malden,East
02149,United States,Massachusetts,Everett,East
02151,United States,Massachusetts,Revere,East
02169,United States,Massachusetts,Quincy,East
02740,United States,Massachusetts,New Bedford,East
02886,United States,Rhode Island,Warwick,East
02895,United States,Rhode Island,Woonsocket,East
02908,United States,Rhode Island,Providence,East
02920,United States,Rhode Island,Cranston,East
03060,United States,New Hampshire,Nashua,East
03301,United States,New Hampshire,Concord,East
03820,United States,New Hampshire,Dover,East
04240,United States,Maine,Lewiston,East
04401,United States,Maine,Bangor,East
05401,United States,Vermont,Burlington,East
06010,United States,Connecticut,Bristol,East
06040,United States,Connecticut,Manchester,East
06360,United States,Connecticut,Norwich,East
06450,United States,Connecticut,Meriden,East
06457,United States,Connecticut,Middletown,East
06460,United States,Connecticut,Milford,East
06484,United States,Connecticut,Shelton,East
06708,United States,Connecticut,Waterbury,East
06810,United States,Connecticut,Danbury,East
06824,United States,Connecticut,Fairfield,East
07002,United States,New Jersey,Bayonne,East
07011,United States,New Jersey,Clifton,East
07017,United States,New Jersey,East Orange,East
07036,United States,New Jersey,Linden,East
07050,United States,New Jersey,Orange,East
07055,United States,New Jersey,Passaic,East
07060,United States,New Jersey,Plainfield,East
07090,United States,New Jersey,Westfield,East
07109,United States,New Jersey,Belleville,East
07501,United States,New Jersey,Paterson,East
07601,United States,New Jersey,Hackensack,East
07960,United States,New Jersey,Morristown,East
08302,United States,New Jersey,Bridgeton,East
08360,United States,New Jersey,Vineland,East
08401,United States,New Jersey,Atlantic City,East
08701,United States,New Jersey,Lakewood,East
08861,United States,New Jersey,Perth Amboy,East
08901,United States,New Jersey,New Brunswick,East
10009,United States,New York,New York City,East
10011,United States,New York,New York City,East
10024,United States,New York,New York City,East
10035,United States,New York,New York City,East
10550,United States,New York,Mount Vernon,East
10701,United States,New York,Yonkers,East
10801,United States,New York,New Rochelle,East
11520,United States,New York,Freeport,East
11550,United States,New York,Hempstead,East
11561,United States,New York,Long Beach,East
11572,United States,New York,Oceanside,East
11757,United States,New York,Lindenhurst,East
12180,United States,New York,Troy,East
13021,United States,New York,Auburn,East
13440,United States,New York,Rome,East
13501,United States,New York,Utica,East
13601,United States,New York,Watertown,East
14215,United States,New York,Buffalo,East
14304,United States,New York,Niagara Falls,East
14609,United States,New York,Rochester,East
14701,United States,New York,Jamestown,East
16602,United States,Pennsylvania,Altoona,East
17403,United States,Pennsylvania,York,East
17602,United States,Pennsylvania,Lancaster,East
18018,United States,Pennsylvania,Bethlehem,East
18103,United States,Pennsylvania,Allentown,East
19013,United States,Pennsylvania,Chester,East
19120,United States,Pennsylvania,Philadelphia,East
19134,United States,Pennsylvania,Philadelphia,East
19140,United States,Pennsylvania,Philadelphia,East
19143,United States,Pennsylvania,Philadelphia,East
19601,United States,Pennsylvania,Reading,East
19711,United States,Delaware,Newark,East
19805,United States,Delaware,Wilmington,East
19901,United States,Delaware,Dover,East
20016,United States,District of Columbia,Washington,East
20707,United States,Maryland,Laurel,East
20735,United States,Maryland,Clinton,East
20852,United States,Maryland,Rockville,East
20877,United States,Maryland,Gaithersburg,East
21044,United States,Maryland,Columbia,East
21215,United States,Maryland,Baltimore,East
21740,United States,Maryland,Hagerstown,East
22153,United States,Virginia,Springfield,South
22204,United States,Virginia,Arlington,South
22304,United States,Virginia,Alexandria,South
22801,United States,Virginia,Harrisonburg,South
22901,United States,Virginia,Charlottesville,South
22980,United States,Virginia,Waynesboro,South
23223,United States,Virginia,Richmond,South
23320,United States,Virginia,Chesapeake,South
23434,United States,Virginia,Suffolk,South
23464,United States,Virginia,Virginia Beach,South
23602,United States,Virginia,Newport News,South
23666,United States,Virginia,Hampton,South
24153,United States,Virginia,Salem,South
26003,United States,West Virginia,Wheeling,East
27217,United States,North Carolina,Burlington,South
27360,United States,North Carolina,Thomasville,South
27405,United States,North Carolina,Greensboro,South
27511,United States,North Carolina,Cary,South
27514,United States,North Carolina,Chapel Hill,South
27534,United States,North Carolina,Goldsboro,South
27604,United States,North Carolina,Raleigh,South
27707,United States,North Carolina,Durham,South
27834,United States,North Carolina,Greenville,South
27893,United States,North Carolina,Wilson,South
28027,United States,North Carolina,Concord,South
28052,United States,North Carolina,Gastonia,South
28110,United States,North Carolina,Monroe,South
28205,United States,North Carolina,Charlotte,South
28314,United States,North Carolina,Fayetteville,South
28403,United States,North Carolina,Wilmington,South
28540,United States,North Carolina,Jacksonville,South
