Order No,Order ID,Customer ID,Postal Code,Product ID
1,CA-2020-152156,CG-12520,42420,FUR-BO-10001798
2,CA-2020-152156,CG-12520,42420,FUR-CH-10000454
3,CA-2020-138688,DV-13045,90036,OFF-LA-10000240
4,US-2019-108966,SO-20335,33311,FUR-TA-10000577
5,US-2019-108966,SO-20335,33311,OFF-ST-10000760
6,CA-2018-115812,BH-11710,90032,FUR-FU-10001487
7,CA-2018-115812,BH-11710,90032,OFF-AR-10002833
8,CA-2018-115812,BH-11710,90032,TEC-PH-10002275
9,CA-2018-115812,BH-11710,90032,OFF-BI-10003910
10,CA-2018-115812,BH-11710,90032,OFF-AP-10002892
11,CA-2018-115812,BH-11710,90032,FUR-TA-10001539
12,CA-2018-115812,BH-11710,90032,TEC-PH-10002033
13,CA-2021-114412,AA-10480,28027,OFF-PA-10002365
14,CA-2020-161389,IM-15070,98103,OFF-BI-10003656
15,US-2019-118983,HP-14815,76106,OFF-AP-10002311
16,US-2019-118983,HP-14815,76106,OFF-BI-10000756
17,CA-2018-105893,PK-19075,53711,OFF-ST-10004186
18,CA-2018-167164,AG-10270,84084,OFF-ST-10000107
19,CA-2018-143336,ZD-21925,94109,OFF-AR-10003056
20,CA-2018-143336,ZD-21925,94109,TEC-PH-10001949
21,CA-2018-143336,ZD-21925,94109,OFF-BI-10002215
22,CA-2020-137330,KB-16585,68025,OFF-AR-10000246
23,CA-2020-137330,KB-16585,68025,OFF-AP-10001492
24,US-2021-156909,SF-20065,19140,FUR-CH-10002774
25,CA-2019-106320,EB-13870,84057,FUR-TA-10000577
26,CA-2020-121755,EH-13945,90049,OFF-BI-10001634
27,CA-2020-121755,EH-13945,90049,TEC-AC-10003027
28,US-2019-150630,TB-21520,19140,FUR-BO-10004834
29,US-2019-150630,TB-21520,19140,OFF-BI-10000474
30,US-2019-150630,TB-21520,19140,FUR-FU-10004848
31,US-2019-150630,TB-21520,19140,OFF-EN-10001509
32,US-2019-150630,TB-21520,19140,OFF-AR-10004042
33,US-2019-150630,TB-21520,19140,OFF-BI-10001525
34,US-2019-150630,TB-21520,19140,OFF-AR-10001683
35,CA-2021-107727,MA-17560,77095,OFF-PA-10000249
36,CA-2020-117590,GH-14485,75080,TEC-PH-10004977
37,CA-2020-117590,GH-14485,75080,FUR-FU-10003664
38,CA-2019-117415,SN-20710,77041,OFF-EN-10002986
39,CA-2019-117415,SN-20710,77041,FUR-BO-10002545
40,CA-2019-117415,SN-20710,77041,FUR-CH-10004218
41,CA-2019-117415,SN-20710,77041,TEC-PH-10000486
42,CA-2021-120999,LC-16930,60540,TEC-PH-10004093
43,CA-2020-101343,RA-19885,90049,OFF-ST-10003479
44,CA-2021-139619,ES-14080,32935,OFF-ST-10003282
45,CA-2020-118255,ON-18715,55122,TEC-AC-10000171
46,CA-2020-118255,ON-18715,55122,OFF-BI-10003291
47,CA-2018-146703,PO-18865,48185,OFF-ST-10001713
48,CA-2020-169194,LH-16900,19901,TEC-AC-10002167
49,CA-2020-169194,LH-16900,19901,TEC-PH-10003988
50,CA-2019-115742,DP-13000,47150,OFF-BI-10004410
51,CA-2019-115742,DP-13000,47150,OFF-LA-10002762
52,CA-2019-115742,DP-13000,47150,FUR-FU-10001706
53,CA-2019-115742,DP-13000,47150,FUR-CH-10003061
54,CA-2020-105816,JM-15265,10024,OFF-FA-10000304
55,CA-2020-105816,JM-15265,10024,TEC-PH-10002447
56,CA-2020-111682,TB-21055,12180,OFF-ST-10000604
57,CA-2020-111682,TB-21055,12180,OFF-PA-10001569
58,CA-2020-111682,TB-21055,12180,FUR-CH-10003968
59,CA-2020-111682,TB-21055,12180,OFF-PA-10000587
60,CA-2020-111682,TB-21055,12180,TEC-AC-10002167
61,CA-2020-111682,TB-21055,12180,OFF-BI-10001460
62,CA-2020-111682,TB-21055,12180,OFF-AR-10001868
63,CA-2019-135545,KM-16720,90004,TEC-AC-10004633
64,CA-2019-135545,KM-16720,90004,OFF-BI-10001078
65,CA-2019-135545,KM-16720,90004,OFF-PA-10003892
66,CA-2019-135545,KM-16720,90004,FUR-FU-10000397
67,US-2019-164175,PS-18970,60610,FUR-CH-10001146
68,CA-2018-106376,BS-11590,85234,OFF-AR-10002671
69,CA-2018-106376,BS-11590,85234,TEC-PH-10002726
70,CA-2020-119823,KD-16270,22153,OFF-PA-10000482
71,CA-2020-106075,HM-14980,10009,OFF-BI-10004654
72,CA-2021-114440,TB-21520,49201,OFF-PA-10004675
73,US-2019-134026,JE-15745,38109,FUR-CH-10000513
74,US-2019-134026,JE-15745,38109,FUR-FU-10003708
75,US-2019-134026,JE-15745,38109,OFF-ST-10004123
76,US-2021-118038,KB-16600,77041,OFF-BI-10004182
77,US-2021-118038,KB-16600,77041,FUR-FU-10000260
78,US-2021-118038,KB-16600,77041,OFF-ST-10000615
79,US-2018-147606,JE-15745,77070,FUR-FU-10003194
80,CA-2020-127208,SC-20770,35601,OFF-AP-10002118
81,CA-2020-127208,SC-20770,35601,OFF-BI-10002309
82,CA-2018-139451,DN-13690,94122,OFF-AR-10002053
83,CA-2018-139451,DN-13690,94122,OFF-ST-10002370
84,CA-2019-149734,JC-16105,27707,OFF-EN-10000927
85,US-2021-119662,CS-12400,60623,OFF-ST-10003656
86,CA-2021-140088,PO-18865,29203,FUR-CH-10000863
87,CA-2021-155558,PG-18895,55901,TEC-AC-10001998
88,CA-2021-155558,PG-18895,55901,OFF-LA-10000134
89,CA-2020-159695,GM-14455,77095,OFF-ST-10003442
90,CA-2020-109806,JS-15685,90036,OFF-AR-10004930
91,CA-2020-109806,JS-15685,90036,TEC-PH-10004093
92,CA-2020-109806,JS-15685,90036,OFF-PA-10000304
93,CA-2019-149587,KB-16315,55407,OFF-PA-10003177
94,CA-2019-149587,KB-16315,55407,FUR-FU-10003799
95,CA-2019-149587,KB-16315,55407,OFF-BI-10002852
96,US-2021-109484,RB-19705,97206,OFF-BI-10004738
97,CA-2021-161018,PN-18775,10009,FUR-FU-10000629
98,CA-2021-157833,KD-16345,94122,OFF-BI-10001721
99,CA-2020-149223,ER-13855,55106,OFF-AP-10000358
100,CA-2020-158568,RB-19465,60610,OFF-PA-10003256
101,CA-2020-158568,RB-19465,60610,TEC-AC-10001767
102,CA-2020-158568,RB-19465,60610,OFF-BI-10002609
103,CA-2020-129903,GZ-14470,55901,OFF-PA-10004040
104,US-2019-156867,LC-16870,80013,TEC-AC-10001552
105,US-2019-156867,LC-16870,80013,FUR-FU-10004006
106,US-2019-156867,LC-16870,80013,OFF-BI-10002794
107,CA-2021-119004,JM-15250,28205,TEC-AC-10003499
108,CA-2021-119004,JM-15250,28205,TEC-PH-10002844
109,CA-2021-119004,JM-15250,28205,OFF-AR-10000390
110,CA-2019-129476,PA-19060,60462,TEC-AC-10000844
111,CA-2021-146780,CV-12805,10035,FUR-FU-10001934
112,CA-2020-128867,CL-12565,50322,OFF-AR-10000380
113,CA-2020-128867,CL-12565,50322,OFF-BI-10003981
114,CA-2018-115259,RC-19960,43229,OFF-FA-10000621
115,CA-2018-115259,RC-19960,43229,OFF-EN-10002600
116,CA-2018-115259,RC-19960,43229,OFF-PA-10004965
117,CA-2018-115259,RC-19960,43229,OFF-EN-10002504
118,CA-2019-110457,DK-13090,98103,FUR-TA-10001768
119,US-2019-136476,GG-14650,37620,OFF-BI-10003650
120,CA-2020-103730,SC-20725,19805,FUR-FU-10002157
121,CA-2020-103730,SC-20725,19805,OFF-BI-10003910
122,CA-2020-103730,SC-20725,19805,OFF-ST-10000777
123,CA-2020-103730,SC-20725,19805,OFF-EN-10002500
124,CA-2020-103730,SC-20725,19805,TEC-PH-10003875
125,US-2018-152030,AD-10180,77041,FUR-CH-10004063
126,US-2018-134614,PF-19165,61701,FUR-TA-10004534
127,US-2021-107272,TS-21610,85023,OFF-BI-10003274
128,US-2021-107272,TS-21610,85023,OFF-ST-10002974
129,US-2020-125969,LS-16975,90004,FUR-CH-10001146
130,US-2020-125969,LS-16975,90004,FUR-FU-10003773
131,US-2021-164147,DW-13585,43229,TEC-PH-10002293
132,US-2021-164147,DW-13585,43229,OFF-PA-10002377
133,US-2021-164147,DW-13585,43229,OFF-FA-10002780
134,CA-2020-145583,LC-16885,95661,OFF-PA-10001804
135,CA-2020-145583,LC-16885,95661,OFF-PA-10001736
136,CA-2020-145583,LC-16885,95661,OFF-AR-10001149
137,CA-2020-145583,LC-16885,95661,OFF-FA-10002988
138,CA-2020-145583,LC-16885,95661,OFF-BI-10004781
139,CA-2020-145583,LC-16885,95661,OFF-SU-10001218
