Order No,Sales($),Quantity,Discount,Profit($),Price($)
1,261.96 ,2,0,41.91 ,261.96 
2,731.94 ,3,0,219.58 ,731.94 
3,14.62 ,2,0,6.87 ,14.62 
4,957.58 ,5,0.45,-383.03 ,"1,741.05 "
5,22.37 ,2,0.2,2.52 ,27.96 
6,48.86 ,7,0,14.17 ,48.86 
7,7.28 ,4,0,1.97 ,7.28 
8,907.15 ,6,0.2,90.72 ,"1,133.94 "
9,18.50 ,3,0.2,5.78 ,23.13 
10,114.90 ,5,0,34.47 ,114.90 
11,"1,706.18 ",9,0.2,85.31 ,"2,132.73 "
12,911.42 ,4,0.2,68.36 ,"1,139.28 "
13,15.55 ,3,0.2,5.44 ,19.44 
14,407.98 ,3,0.2,132.59 ,509.97 
15,68.81 ,5,0.8,-123.86 ,344.05 
16,2.54 ,3,0.8,-3.82 ,12.72 
17,665.88 ,6,0,13.32 ,665.88 
18,55.50 ,2,0,9.99 ,55.50 
19,8.56 ,2,0,2.48 ,8.56 
20,213.48 ,3,0.2,16.01 ,266.85 
21,22.72 ,4,0.2,7.38 ,28.40 
22,19.46 ,7,0,5.06 ,19.46 
23,60.34 ,7,0,15.69 ,60.34 
24,71.37 ,2,0.3,-1.02 ,101.96 
25,"1,044.63 ",3,0,240.26 ,"1,044.63 "
26,11.65 ,2,0.2,4.22 ,14.56 
27,90.57 ,3,0,11.77 ,90.57 
28,"3,083.43 ",7,0.5,"-1,665.05 ","6,166.86 "
29,9.62 ,2,0.7,-7.05 ,32.06 
30,124.20 ,3,0.2,15.53 ,155.25 
31,3.26 ,2,0.2,1.10 ,4.08 
32,86.30 ,6,0.2,9.71 ,107.88 
33,6.86 ,6,0.7,-5.72 ,22.86 
34,15.76 ,2,0.2,3.55 ,19.70 
35,29.47 ,3,0.2,9.95 ,36.84 
36,"1,097.54 ",7,0.2,123.47 ,"1,371.93 "
37,190.92 ,5,0.6,-147.96 ,477.30 
38,113.33 ,9,0.2,35.42 ,141.66 
39,532.40 ,3,0.32,-46.98 ,782.94 
40,212.06 ,3,0.3,-15.15 ,302.94 
41,371.17 ,4,0.2,41.76 ,463.96 
42,147.17 ,4,0.2,16.56 ,183.96 
43,77.88 ,2,0,3.89 ,77.88 
44,95.62 ,2,0.2,9.56 ,119.52 
45,45.98 ,2,0,19.77 ,45.98 
46,17.46 ,2,0,8.21 ,17.46 
47,211.96 ,4,0,8.48 ,211.96 
48,45.00 ,3,0,4.95 ,45.00 
