City,Country/Region,State,Postal Code,Region
Aberdeen,United States,South Dakota,57401,Central
Abilene,United States,Texas,79605,Central
Akron,United States,Ohio,44312,East
Albuquerque,United States,New Mexico,87105,West
Alexandria,United States,Virginia,22304,South
Allen,United States,Texas,75002,Central
Allentown,United States,Pennsylvania,18103,East
Altoona,United States,Pennsylvania,16602,East
Amarillo,United States,Texas,79109,Central
Anaheim,United States,California,92804,West
Andover,United States,Massachusetts,01810,East
Ann Arbor,United States,Michigan,48104,Central
Antioch,United States,California,94509,West
Apopka,United States,Florida,32712,South
Apple Valley,United States,Minnesota,55124,Central
Apple Valley,United States,California,92307,West
Appleton,United States,Wisconsin,54915,Central
Arlington,United States,Virginia,22204,South
Arlington,United States,Texas,76017,Central
Arlington Heights,United States,Illinois,60004,Central
Arvada,United States,Colorado,80004,West
Asheville,United States,North Carolina,28806,South
Athens,United States,Georgia,30605,South
Atlanta,United States,Georgia,30318,South
Atlantic City,United States,New Jersey,08401,East
Auburn,United States,New York,13021,East
Auburn,United States,Washington,98002,West
Auburn,United States,Alabama,36830,South
Aurora,United States,Colorado,80013,West
Aurora,United States,Illinois,60505,Central
Austin,United States,Texas,78745,Central
Avondale,United States,Arizona,85323,West
Bakersfield,United States,California,93309,West
Baltimore,United States,Maryland,21215,East
Bangor,United States,Maine,04401,East
Bartlett,United States,Tennessee,38134,South
Bayonne,United States,New Jersey,07002,East
Baytown,United States,Texas,77520,Central
Beaumont,United States,Texas,77705,Central
Bedford,United States,Texas,76021,Central
Belleville,United States,New Jersey,07109,East
Bellevue,United States,Washington,98006,West
Bellingham,United States,Washington,98226,West
Bethlehem,United States,Pennsylvania,18018,East
Beverly,United States,Massachusetts,01915,East
Billings,United States,Montana,59102,West
Bloomington,United States,Illinois,61701,Central
Bloomington,United States,Indiana,47401,Central
Boca Raton,United States,Florida,33433,South
Boise,United States,Idaho,83704,West
Bolingbrook,United States,Illinois,60440,Central
Bossier City,United States,Louisiana,71111,South
Bowling Green,United States,Kentucky,42104,South
Bowling Green,United States,Ohio,43402,East
Boynton Beach,United States,Florida,33437,South
Bozeman,United States,Montana,59715,West
Brentwood,United States,California,94513,West
Bridgeton,United States,New Jersey,08302,East
Bristol,United States,Tennessee,37620,South
Bristol,United States,Connecticut,06010,East
Broken Arrow,United States,Oklahoma,74012,Central
Broomfield,United States,Colorado,80020,West
Brownsville,United States,Texas,78521,Central
Bryan,United States,Texas,77803,Central
Buffalo,United States,New York,14215,East
Buffalo Grove,United States,Illinois,60089,Central
Bullhead City,United States,Arizona,86442,West
Burbank,United States,California,91505,West
Burlington,United States,North Carolina,27217,South
Burlington,United States,Iowa,52601,Central
Burlington,United States,Vermont,05401,East
Caldwell,United States,Idaho,83605,West
Camarillo,United States,California,93010,West
Cambridge,United States,Massachusetts,02138,East
Canton,United States,Michigan,48187,Central
Carlsbad,United States,New Mexico,88220,West
Carol Stream,United States,Illinois,60188,Central
Carrollton,United States,Texas,75007,Central
Cary,United States,North Carolina,27511,South
Cedar Hill,United States,Texas,75104,Central
Cedar Rapids,United States,Iowa,52402,Central
Champaign,United States,Illinois,61821,Central
Chandler,United States,Arizona,85224,West
Chapel Hill,United States,North Carolina,27514,South
Charlotte,United States,North Carolina,28205,South
Charlottesville,United States,Virginia,22901,South
Chattanooga,United States,Tennessee,37421,South
Chesapeake,United States,Virginia,23320,South
Chester,United States,Pennsylvania,19013,East
Cheyenne,United States,Wyoming,82001,West
Chicago,United States,Illinois,60610,Central
Chicago,United States,Illinois,60623,Central
Chicago,United States,Illinois,60653,Central
Chico,United States,California,95928,West
Chula Vista,United States,California,91911,West
Cincinnati,United States,Ohio,45231,East
Citrus Heights,United States,California,95610,West
Clarksville,United States,Tennessee,37042,South
Cleveland,United States,Ohio,44105,East
Clifton,United States,New Jersey,07011,East
Clinton,United States,Maryland,20735,East
Clovis,United States,New Mexico,88101,West
Coachella,United States,California,92236,West
College Station,United States,Texas,77840,Central
Colorado Springs,United States,Colorado,80906,West
Columbia,United States,South Carolina,29203,South
Columbia,United States,Tennessee,38401,South
Columbia,United States,Maryland,21044,East
Columbia,United States,Missouri,65203,Central
Columbus,United States,Ohio,43229,East
Columbus,United States,Georgia,31907,South
Columbus,United States,Indiana,47201,Central
Commerce City,United States,Colorado,80022,West
Concord,United States,North Carolina,28027,South
Concord,United States,California,94521,West
Concord,United States,New Hampshire,03301,East
Conroe,United States,Texas,77301,Central
Conway,United States,Arkansas,72032,South
Coon Rapids,United States,Minnesota,55433,Central
Coppell,United States,Texas,75019,Central
Coral Gables,United States,Florida,33134,South
Coral Springs,United States,Florida,33065,South
Corpus Christi,United States,Texas,78415,Central
Costa Mesa,United States,California,92627,West
Cottage Grove,United States,Minnesota,55016,Central
Covington,United States,Washington,98042,West
Cranston,United States,Rhode Island,02920,East
Cuyahoga Falls,United States,Ohio,44221,East
Dallas,United States,Texas,75220,Central
Dallas,United States,Texas,75217,Central
Dallas,United States,Texas,75081,Central
Danbury,United States,Connecticut,06810,East
Danville,United States,California,94526,West
Danville,United States,Illinois,61832,Central
Davis,United States,California,95616,West
Daytona Beach,United States,Florida,32114,South
Dearborn,United States,Michigan,48126,Central
Dearborn Heights,United States,Michigan,48127,Central
Decatur,United States,Alabama,35601,South
Decatur,United States,Illinois,62521,Central
Deer Park,United States,Texas,77536,Central
Delray Beach,United States,Florida,33445,South
Deltona,United States,Florida,32725,South
Denver,United States,Colorado,80219,West
Des Moines,United States,Washington,98198,West
Des Moines,United States,Iowa,50315,Central
Des Plaines,United States,Illinois,60016,Central
Detroit,United States,Michigan,48227,Central
Detroit,United States,Michigan,48234,Central
Detroit,United States,Michigan,48205,Central
Dover,United States,Delaware,19901,East
Dover,United States,New Hampshire,03820,East
Draper,United States,Utah,84020,West
Dublin,United States,Ohio,43017,East
Dublin,United States,California,94568,West
Dubuque,United States,Iowa,52001,Central
Durham,United States,North Carolina,27707,South
Eagan,United States,Minnesota,55122,Central
East Orange,United States,New Jersey,07017,East
East Point,United States,Georgia,30344,South
Eau Claire,United States,Wisconsin,54703,Central
Edinburg,United States,Texas,78539,Central
Edmond,United States,Oklahoma,73034,Central
Edmonds,United States,Washington,98026,West
El Cajon,United States,California,92020,West
El Paso,United States,Texas,79907,Central
Elkhart,United States,Indiana,46514,Central
Elmhurst,United States,Illinois,60126,Central
Elyria,United States,Ohio,44035,East
Encinitas,United States,California,92024,West
Englewood,United States,Colorado,80112,West
Escondido,United States,California,92025,West
Eugene,United States,Oregon,97405,West
Evanston,United States,Illinois,60201,Central
Everett,United States,Massachusetts,02149,East
Everett,United States,Washington,98208,West
Fairfield,United States,Connecticut,06824,East
Fairfield,United States,California,94533,West
Fairfield,United States,Ohio,45014,East
Fargo,United States,North Dakota,58103,Central
Farmington,United States,New Mexico,87401,West
Fayetteville,United States,Arkansas,72701,South
Fayetteville,United States,North Carolina,28314,South
Florence,United States,Kentucky,41042,South
Florence,United States,Alabama,35630,South
Florence,United States,South Carolina,29501,South
Fort Collins,United States,Colorado,80525,West
Fort Lauderdale,United States,Florida,33311,South
Fort Worth,United States,Texas,76106,Central
Frankfort,United States,Illinois,60423,Central
Franklin,United States,Wisconsin,53132,Central
Franklin,United States,Tennessee,37064,South
Franklin,United States,Massachusetts,02038,East
Freeport,United States,New York,11520,East
Freeport,United States,Illinois,61032,Central
Fremont,United States,Nebraska,68025,Central
Fresno,United States,California,93727,West
Frisco,United States,Texas,75034,Central
Gaithersburg,United States,Maryland,20877,East
Garden City,United States,Kansas,67846,Central
Garland,United States,Texas,75043,Central
Gastonia,United States,North Carolina,28052,South
Georgetown,United States,Kentucky,40324,South
Gilbert,United States,Arizona,85234,West
Gladstone,United States,Missouri,64118,Central
Glendale,United States,Arizona,85301,West
Glenview,United States,Illinois,60025,Central
Goldsboro,United States,North Carolina,27534,South
Grand Island,United States,Nebraska,68801,Central
Grand Prairie,United States,Texas,75051,Central
Grand Rapids,United States,Michigan,49505,Central
Grapevine,United States,Texas,76051,Central
Great Falls,United States,Montana,59405,West
Greeley,United States,Colorado,80634,West
Green Bay,United States,Wisconsin,54302,Central
Greensboro,United States,North Carolina,27405,South
Greenville,United States,North Carolina,27834,South
Greenwood,United States,Indiana,46142,Central
Gresham,United States,Oregon,97030,West
Grove City,United States,Ohio,43123,East
Gulfport,United States,Mississippi,39503,South
Hackensack,United States,New Jersey,07601,East
Hagerstown,United States,Maryland,21740,East
Haltom City,United States,Texas,76117,Central
Hamilton,United States,Ohio,45011,East
Hampton,United States,Virginia,23666,South
Harlingen,United States,Texas,78550,Central
Harrisonburg,United States,Virginia,22801,South
Hattiesburg,United States,Mississippi,39401,South
Helena,United States,Montana,59601,West
Hempstead,United States,New York,11550,East
Henderson,United States,Kentucky,42420,South
