RowID,OrderID,OrderDate,CustomerID,City,PostalCode,ProductID,ProductName,Sales,Quantity,Discount,Profit,Price
1,CA-2020-152156,2020-11-08,CG-12520,Henderson,42420,FUR-BO-10001798,Bush Somerset Collection Bookcase,261.96,2,0,41.9136,261.96
2,CA-2020-152156,2020-11-08,CG-12520,Henderson,42420,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582,731.94
3,CA-2020-138688,2020-06-12,DV-13045,Los Angeles,90036,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714,14.62
4,US-2019-108966,2019-10-11,SO-20335,Fort Lauderdale,33311,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.45,-383.031,1741.05
5,US-2019-108966,2019-10-11,SO-20335,Fort Lauderdale,33311,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,22.37,2,0.2,2.5164,27.96
6,CA-2018-115812,2018-06-09,BH-11710,Los Angeles,90032,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694,48.86
7,CA-2018-115812,2018-06-09,BH-11710,Los Angeles,90032,OFF-AR-10002833,Newell 322,7.28,4,0,1.9656,7.28
8,CA-2018-115812,2018-06-09,BH-11710,Los Angeles,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,907.15,6,0.2,90.7152,1133.94
9,CA-2018-115812,2018-06-09,BH-11710,Los Angeles,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,18.5,3,0.2,5.7825,23.13
10,CA-2018-115812,2018-06-09,BH-11710,Los Angeles,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47,114.9
11,CA-2018-115812,2018-06-09,BH-11710,Los Angeles,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,1706.18,9,0.2,85.3092,2132.73
12,CA-2018-115812,2018-06-09,BH-11710,Los Angeles,90032,TEC-PH-10002033,Konftel 250 Conference?phone?- Charcoal black,911.42,4,0.2,68.3568,1139.28
13,CA-2021-114412,2021-04-15,AA-10480,Concord,28027,OFF-PA-10002365,Xerox 1967,15.55,3,0.2,5.4432,19.44
14,CA-2020-161389,2020-12-05,IM-15070,Seattle,98103,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,407.98,3,0.2,132.5922,509.97
15,US-2019-118983,2019-11-22,HP-14815,Fort Worth,76106,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,344.05
16,US-2019-118983,2019-11-22,HP-14815,Fort Worth,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,2.54,3,0.8,-3.816,12.72
17,CA-2018-105893,2018-11-11,PK-19075,Madison,53711,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72'H x 36'W x 18 1/2'D",665.88,6,0,13.3176,665.88
18,CA-2018-167164,2018-05-13,AG-10270,West Jordan,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,55.5,2,0,9.99,55.5
19,CA-2018-143336,2018-08-27,ZD-21925,San Francisco,94109,OFF-AR-10003056,Newell 341,8.56,2,0,2.4824,8.56
20,CA-2018-143336,2018-08-27,ZD-21925,San Francisco,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,266.85
21,CA-2018-143336,2018-08-27,ZD-21925,San Francisco,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1'",22.72,4,0.2,7.384,28.4
22,CA-2020-137330,2020-12-09,KB-16585,Fremont,68025,OFF-AR-10000246,Newell 318,19.46,7,0,5.0596,19.46
23,CA-2020-137330,2020-12-09,KB-16585,Fremont,68025,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884,60.34
24,US-2021-156909,2021-07-16,SF-20065,Philadelphia,19140,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",71.37,2,0.3,-1.0196,101.96
25,CA-2019-106320,2019-09-25,EB-13870,Orem,84057,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649,1044.63
26,CA-2020-121755,2020-01-16,EH-13945,Los Angeles,90049,OFF-BI-10001634,Wilson Jones Active Use Binders,11.65,2,0.2,4.2224,14.56
27,CA-2020-121755,2020-01-16,EH-13945,Los Angeles,90049,TEC-AC-10003027,Imation?8GB Mini TravelDrive USB 2.0?Flash Drive,90.57,3,0,11.7741,90.57
28,US-2019-150630,2019-09-17,TB-21520,Philadelphia,19140,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,6166.86
29,US-2019-150630,2019-09-17,TB-21520,Philadelphia,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,9.62,2,0.7,-7.0532,32.06
30,US-2019-150630,2019-09-17,TB-21520,Philadelphia,19140,FUR-FU-10004848,Howard Miller 13-3/4' Diameter Brushed Chrome Round Wall Clock,124.2,3,0.2,15.525,155.25
31,US-2019-150630,2019-09-17,TB-21520,Philadelphia,19140,OFF-EN-10001509,Poly String Tie Envelopes,3.26,2,0.2,1.1016,4.08
32,US-2019-150630,2019-09-17,TB-21520,Philadelphia,19140,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.3,6,0.2,9.7092,107.88
33,US-2019-150630,2019-09-17,TB-21520,Philadelphia,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8' x 11', Executive Red",6.86,6,0.7,-5.715,22.86
34,US-2019-150630,2019-09-17,TB-21520,Philadelphia,19140,OFF-AR-10001683,Lumber Crayons,15.76,2,0.2,3.546,19.7
35,CA-2021-107727,2021-10-19,MA-17560,Houston,77095,OFF-PA-10000249,Easy-staple paper,29.47,3,0.2,9.9468,36.84
36,CA-2020-117590,2020-12-08,GH-14485,Richardson,75080,TEC-PH-10004977,GE 30524EE4,1097.54,7,0.2,123.4737,1371.93
37,CA-2020-117590,2020-12-08,GH-14485,Richardson,75080,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,477.3
38,CA-2019-117415,2019-12-27,SN-20710,Houston,77041,OFF-EN-10002986,#10-4 1/8' x 9 1/2' Premium Diagonal Seam Envelopes,113.33,9,0.2,35.415,141.66
39,CA-2019-117415,2019-12-27,SN-20710,Houston,77041,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.4,3,0.32,-46.9764,782.94
40,CA-2019-117415,2019-12-27,SN-20710,Houston,77041,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",212.06,3,0.3,-15.147,302.94
41,CA-2019-117415,2019-12-27,SN-20710,Houston,77041,TEC-PH-10000486,Plantronics HL10 Handset Lifter,371.17,4,0.2,41.7564,463.96
42,CA-2021-120999,2021-09-10,LC-16930,Naperville,60540,TEC-PH-10004093,Panasonic Kx-TS550,147.17,4,0.2,16.5564,183.96
43,CA-2020-101343,2020-07-17,RA-19885,Los Angeles,90049,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894,77.88
44,CA-2021-139619,2021-09-19,ES-14080,Melbourne,32935,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,2,0.2,9.5616,119.52
45,CA-2020-118255,2020-03-11,ON-18715,Eagan,55122,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714,45.98
46,CA-2020-118255,2020-03-11,ON-18715,Eagan,55122,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062,17.46
47,CA-2018-146703,2018-10-20,PO-18865,Westland,48185,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784,211.96
48,CA-2020-169194,2020-06-20,LH-16900,Dover,19901,TEC-AC-10002167,Imation?8gb Micro Traveldrive Usb 2.0?Flash Drive,45,3,0,4.95,45
49,CA-2020-169194,2020-06-20,LH-16900,Dover,19901,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104,21.8
50,CA-2019-115742,2019-04-18,DP-13000,New Albany,47150,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634,38.22
51,CA-2019-115742,2019-04-18,DP-13000,New Albany,47150,OFF-LA-10002762,Avery 485,75.18,6,0,35.3346,75.18
52,CA-2019-115742,2019-04-18,DP-13000,New Albany,47150,FUR-FU-10001706,Longer-Life Soft White Bulbs,6.16,2,0,2.9568,6.16
53,CA-2019-115742,2019-04-18,DP-13000,New Albany,47150,FUR-CH-10003061,"Global Leather Task Chair, Black",89.99,1,0,17.0981,89.99
54,CA-2020-105816,2020-12-11,JM-15265,New York City,10024,OFF-FA-10000304,Advantus Push Pins,15.26,7,0,6.2566,15.26
55,CA-2020-105816,2020-12-11,JM-15265,New York City,10024,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855,1029.95
56,CA-2020-111682,2020-06-17,TB-21055,Troy,12180,OFF-ST-10000604,Home/Office Personal File Carts,208.56,6,0,52.14,208.56
57,CA-2020-111682,2020-06-17,TB-21055,Troy,12180,OFF-PA-10001569,Xerox 232,32.4,5,0,15.552,32.4
58,CA-2020-111682,2020-06-17,TB-21055,Troy,12180,FUR-CH-10003968,Novimex Turbo Task Chair,319.41,5,0.1,7.098,354.9
59,CA-2020-111682,2020-06-17,TB-21055,Troy,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888,14.56
60,CA-2020-111682,2020-06-17,TB-21055,Troy,12180,TEC-AC-10002167,Imation?8gb Micro Traveldrive Usb 2.0?Flash Drive,30,2,0,3.3,30
61,CA-2020-111682,2020-06-17,TB-21055,Troy,12180,OFF-BI-10001460,Plastic Binding Combs,48.48,4,0.2,16.362,60.6
62,CA-2020-111682,2020-06-17,TB-21055,Troy,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,1.68,1,0,0.84,1.68
63,CA-2019-135545,2019-11-24,KM-16720,Los Angeles,90004,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512,13.98
64,CA-2019-135545,2019-11-24,KM-16720,Los Angeles,90004,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8' X 11'",25.82,6,0.2,9.3612,32.28
65,CA-2019-135545,2019-11-24,KM-16720,Los Angeles,90004,OFF-PA-10003892,Xerox 1943,146.73,3,0,68.9631,146.73
66,CA-2019-135545,2019-11-24,KM-16720,Los Angeles,90004,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328,79.76
67,US-2019-164175,2019-04-30,PS-18970,Chicago,60610,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",213.12,5,0.3,-15.2225,304.45
68,CA-2018-106376,2018-12-05,BS-11590,Gilbert,85234,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,8,0.2,111.3024,1391.28
69,CA-2018-106376,2018-12-05,BS-11590,Gilbert,85234,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,167.97,4,0.2,62.988,209.96
70,CA-2020-119823,2020-06-04,KD-16270,Springfield,22153,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636,75.88
71,CA-2020-106075,2020-09-18,HM-14980,New York City,10009,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,4.62,1,0.2,1.731,5.77
