Region,State,City,SubCategory,ProductName,Quantity,Sales,Profit
Central,Illinois,"Arlington Heights",Art,"Newell 332",6,14.11,1.23
Central,Illinois,"Arlington Heights",Art,NULL,6,14.11,1.23
Central,Illinois,"Arlington Heights",NULL,NULL,6,14.11,1.23
Central,Illinois,Aurora,Accessories,"Kingston Digital DataTraveler 16GB USB 2.0",7,50.12,-0.63
Central,Illinois,Aurora,Accessories,NULL,7,50.12,-0.63
Central,Illinois,Aurora,Appliances,"Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge",5,70.97,-191.62
Central,Illinois,Aurora,Appliances,NULL,5,70.97,-191.62
Central,Illinois,Aurora,Art,"Boston KS Multi-Size Manual Pencil Sharpener",2,36.78,3.68
Central,Illinois,Aurora,Art,"Quartet Omega Colored Chalk, 12/Pack",2,9.34,3.15
Central,Illinois,Aurora,Art,NULL,4,46.120000000000005,6.83
Central,Illinois,Aurora,Binders,"Acco D-Ring Binder w/DublLock",7,29.93,-46.39
Central,Illinois,Aurora,Binders,"Avery Binding System Hidden Tab Executive Style Index Sets",2,2.31,-3.46
Central,Illinois,Aurora,Binders,"Avery Poly Binder Pockets",4,2.86,-4.58
Central,Illinois,Aurora,Binders,"Catalog Binders with Expanding Posts",7,94.19,-164.84
Central,Illinois,Aurora,Binders,NULL,20,129.29,-219.27
Central,Illinois,Aurora,Chairs,"Global Armless Task Chair, Royal Blue",3,128.06,-23.78
Central,Illinois,Aurora,Chairs,"Global Ergonomic Managers Chair",2,253.37,-14.48
Central,Illinois,Aurora,Chairs,"Global Troy Executive Leather Low-Back Tilter",2,701.37,-50.1
Central,Illinois,Aurora,Chairs,"GuestStacker Chair with Chrome Finish Legs",2,520.46,-14.87
Central,Illinois,Aurora,Chairs,"Hon Comfortask Task/Swivel Chairs",3,239.36,-47.87
Central,Illinois,Aurora,Chairs,NULL,12,1842.62,-151.10000000000002
Central,Illinois,Aurora,Envelopes,"Airmail Envelopes",4,268.58,90.64
Central,Illinois,Aurora,Envelopes,NULL,4,268.58,90.64
Central,Illinois,Aurora,Fasteners,"Acco Hot Clips Clips to Go",1,2.63,0.82
Central,Illinois,Aurora,Fasteners,NULL,1,2.63,0.82
Central,Illinois,Aurora,Furnishings,"Electrix Halogen Magnifier Lamp",1,77.72,-66.06
Central,Illinois,Aurora,Furnishings,"Flat Face Poster Frame",8,60.29,-27.13
Central,Illinois,Aurora,Furnishings,"Tenex "The Solids"" Textured Chair Mats"",3,83.95,-90.25
Central,Illinois,Aurora,Furnishings,"Tenex Chairmat w/ Average Lip, 45" x 53"""",4,242.18,-302.72
Central,Illinois,Aurora,Furnishings,NULL,16,464.14,-486.16
Central,Illinois,Aurora,Paper,"Tops Wirebound Message Log Books",9,23.69,7.7
Central,Illinois,Aurora,Paper,"White Computer Printout Paper by Universal",6,186.05,67.44
Central,Illinois,Aurora,Paper,"Xerox 21",2,10.37,3.63
Central,Illinois,Aurora,Paper,NULL,17,220.11,78.77
Central,Illinois,Aurora,Phones,"I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink",4,38.27,3.83
Central,Illinois,Aurora,Phones,"PowerGen Dual USB Car Charger",1,7.99,2.6
Central,Illinois,Aurora,Phones,"Samsung Galaxy S4",4,2,250.4
Central,Illinois,Aurora,Phones,NULL,9,48.260000000000005,256.83
Central,Illinois,Aurora,Storage,"Fellowes Mobile File Cart, Black",6,298.46,26.12
Central,Illinois,Aurora,Storage,"Pizazz Global Quick File",2,23.95,2.4
Central,Illinois,Aurora,Storage,"SAFCO Commercial Wire Shelving, Black",2,221.02,-55.26
Central,Illinois,Aurora,Storage,NULL,10,543.43,-26.74
Central,Illinois,Aurora,Supplies,"Acme Tagit Stainless Steel Antibacterial Scissors",4,31.68,2.77
Central,Illinois,Aurora,Supplies,NULL,4,31.68,2.77
Central,Illinois,Aurora,Tables,"Balt Split Level Computer Training Table",1,69.38,-47.18
Central,Illinois,Aurora,Tables,"Bevis Oval Conference Table, Walnut",5,652.45,-430.62
Central,Illinois,Aurora,Tables,"Bevis Round Conference Table Top, X-Base",3,268.94,-209.77
Central,Illinois,Aurora,Tables,"Hon 61000 Series Interactive Training Tables",3,66.65,-42.65
Central,Illinois,Aurora,Tables,"Hon Rectangular Conference Tables",7,796.43,-525.64
Central,Illinois,Aurora,Tables,NULL,19,1853.85,-1255.8600000000001
Central,Illinois,Aurora,NULL,NULL,128,5571.799999999999,-1894.7200000000003
Central,Illinois,Bloomington,Accessories,"Kensington K72356US Mouse-in-a-Box USB Desktop Mouse",3,39.82,7.47
Central,Illinois,Bloomington,Accessories,NULL,3,39.82,7.47
Central,Illinois,Bloomington,Art,"Newell 35",5,13.12,1.48
Central,Illinois,Bloomington,Art,"Stanley Bostitch Contemporary Electric Pencil Sharpeners",4,54.34,5.43
